DateTime	Source	Title	lang	search_keywords	Label	preprocessed_text	km_label	NounChunks
2019-09-20 00:54:51	UrduPoint	"سی پیک منصوبہ ختم،آئی ایم ایف کی شرائط پرعملدرآمد شروع
امریکہ کی خوشنودی کے لیے پاکستانی مفاد پسِ پشت ڈال دیا گیا"	ur	1	CPEC	پیک منصوبہ ایم ایف شرائط عمل درآمد شروع امریکہ خوشنودی پاکستانی مفاد پس پشت ڈال	3	['سی پیک منصوبہ ختم،آئی ایم ایف', 'شرائط پرعملدرآمد شروع امریکہ', 'خوشنودی', 'پاکستانی مفاد پسِ پشت']
2019-09-20 05:45:20	UrduPoint	حکومت نے سی پیک کے تحت اکانامک زونز پر توجہ مرکوز رکھی ہے‘ رشکئی اکنامک زون گراونڈ بریکینگ کے لیے مکمل ہے‘ آئندہ ماہ افتتاح کردیا جائے گا، وفاقی وزیر برائے منصوبہ بندی ... مزید	ur	1	CPEC	حکومت پیک اکانامک زونز توجہ مرکوز رشکئی اکنامک زون گراونڈ بریکینگ آئندہ ماہ افتتاح وفاقی وزیر برائے منصوبہ بندی	4	['حکومت', 'سی پیک', 'تحت اکانامک زونز', 'توجہ', 'ہے‘ رشکئی اکنامک زون گراونڈ بریکینگ', 'مکمل ہے‘', 'آئندہ ماہ افتتاح', 'گا،', 'وفاقی وزیر', 'منصوبہ بندی ...']
2019-09-20 18:53:21	UrduPoint	سی پیک کاموجودہ مرحلہ پاکستانی عوام کیلئے معاشی فوائد لے کر آئے گا، سی پیک اب دوسرے مرحلہ میں داخل ہو گیا ہے جس میں غربت کے خاتمہ، زراعت اور صنعتی تعاون پر توجہ دی جائے ... مزید	ur	1	CPEC	پیک کاموجودہ مرحلہ پاکستانی عوام کیلئے معاشی فوائد آئے پیک اب مرحلہ داخل غربت خاتمہ زراعت صنعتی تعاون توجہ	3	['سی پیک', 'کاموجودہ مرحلہ', 'پاکستانی عوام', 'معاشی فوائد', 'آئے گا،', 'سی پیک', 'دوسرے مرحلہ', 'داخل', 'غربت', 'خاتمہ، زراعت', 'صنعتی تعاون', 'توجہ', '...']
2019-09-21 09:28:12	UrduPoint	"وزیر اعلیٰ خیبر پختونخوا محمود خان کا جمعہ کے روز چترال کا سرکاری دورہ
وزیر اعلیٰ نے بتایا کہ سی پیک کا متبادل روٹ چترل سے ہی ہو کر جائے گا، انہوں نے متاثرہ ریشن بجلی گھر ... مزید"	ur	1	CPEC	وزیر اعلی خیبر پختونخوا محمود خان جمعہ روز چترال سرکاری دورہ وزیر اعلی بتایا پیک متبادل روٹ چترل متاثرہ ریشن بجلی گھر	4	['وزیر', 'اعلیٰ خیبر پختونخوا محمود خان', 'جمعہ', 'روز چترال', 'سرکاری دورہ وزیر اعلیٰ', 'سی پیک', 'متبادل روٹ چترل', 'گا،', 'متاثرہ ریشن بجلی گھر ...']
2019-09-23 06:40:21	UrduPoint	غربت کی شرح میں کمی  سی پیک دوسرے مرحلے کی اہم ترجیحات میں شامل	ur	1	CPEC	غربت شرح کمی پیک مرحلے اہم ترجیحات شامل	3	['غربت', 'شرح', 'کمی', 'سی پیک', 'دوسرے مرحلے', 'اہم ترجیحات']
2019-09-23 06:40:21	UrduPoint	حکومت عوام کو ریلیف کی فراہمی کے لئے پر عزم ہے، سی پیک اتھارٹی	ur	1	CPEC	حکومت عوام ریلیف فراہمی عزم پیک اتھارٹی	3	['حکومت عوام', 'ریلیف', 'فراہمی', 'لئے', 'عزم ہے،', 'سی پیک اتھارٹی']
2019-09-24 06:20:17	UrduPoint	چین پاکستان اقتصادی راہداری منصوبہ کے دوسرے مرحلہ میں غربت کے خاتمے، زراعت اور صنعتی تعاون پر خصوصی توجہ دی جائے گی، حکام سی پیک اتھارٹی	ur	1	CPEC	چین پاکستان اقتصادی راہداری منصوبہ مرحلہ غربت خاتمے زراعت صنعتی تعاون خصوصی توجہ حکام پیک اتھارٹی	3	['چین پاکستان', 'اقتصادی راہداری منصوبہ', 'دوسرے مرحلہ', 'غربت', 'خاتمے، زراعت', 'صنعتی تعاون', 'خصوصی توجہ', 'گی، حکام', 'سی پیک اتھارٹی']
2019-10-07 11:01:26	UrduPoint	وزیر اعظم عمران خان کے دورہ چین سے دونوں ممالک کے مابین تعلقات کے نئے دور کا آغاز ہو گا سی پیک پر کام کی رفتار بڑھ جائے گی، شاہد رشید بٹ	ur	1	CPEC	وزیر اعظم عمران خان دورہ چین ممالک مابین تعلقات نئے دور آغاز پیک کام رفتار بڑھ شاہد رشید بٹ	4	['وزیر اعظم عمران خان', 'دورہ چین', 'ممالک', 'مابین تعلقات', 'نئے دور', 'آغاز', 'سی پیک', 'کام', 'رفتار', 'گی، شاہد رشید']
2019-10-07 11:08:21	ExpressNews	صدارتی آرڈیننس کے ذریعے سی پیک اتھارٹی قائم کرنے کا فیصلہ	ur	1	CPEC	صدارتی آرڈیننس پیک اتھارٹی قائم فیصلہ	3	['صدارتی آرڈیننس', 'ذریعے', 'سی پیک اتھارٹی', 'فیصلہ']
2019-10-07 15:09:59	UrduPoint	"خیبرپختونخوا حکومت کی تمام متعلقہ محکموں کو ترقیاتی منصوبوںکی حتمی منصوبہ بندی مرتب کرنے کی ہدایت
صوبے کے زیادہ ترقیاتی منصوبوں کو پچھلی وفاقی دور حکومت میں سی پیک کے ... مزید"	ur	1	CPEC	خیبر پختونخوا حکومت متعلقہ محکموں ترقیاتی منصوبوںکی حتمی منصوبہ بندی مرتب ہدایت صوبے ترقیاتی منصوبوں پچھلی وفاقی دور حکومت پیک	4	['خیبرپختونخوا حکومت', 'متعلقہ محکموں', 'ترقیاتی منصوبوںکی', 'حتمی منصوبہ بندی', 'ہدایت صوبے', 'ترقیاتی منصوبوں', 'پچھلی وفاقی دور حکومت', 'سی پیک', '...']
2019-10-07 15:52:35	UrduPoint	"وزیراعظم عمران خان کا دورہ چین سی پیک منصوبوں کے لئے بہت اہم ہے، حسن داد بٹ

چینی سرمایہ کاروں کا وفد جلد خیبر پختونخوا کے نئے قائم ہونے والے انڈسٹریل زونز کا دورہ کریں ... مزید"	ur	1	CPEC	وزیراعظم عمران خان دورہ چین پیک منصوبوں اہم حسن داد بٹ چینی سرمایہ کاروں وفد جلد خیبر پختونخوا نئے قائم انڈسٹریل زونز دورہ	4	['وزیراعظم عمران خان', 'دورہ چین', 'سی پیک منصوبوں', 'لئے', 'اہم ہے، حسن داد', 'چینی سرمایہ کاروں', 'وفد', 'خیبر پختونخوا', 'انڈسٹریل زونز', 'دورہ', '...']
2019-10-07 15:52:35	UrduPoint	چین پاکستان اقتصادی راہداری سے ملک میں توانائی کے شدید بحران پرقابو پانے میں مدد ملی ہے، حکام سی پیک اتھارٹی	ur	1	CPEC	چین پاکستان اقتصادی راہداری ملک انائی شدید بحران پرقابو پانے مدد ملی حکام پیک اتھارٹی	3	['چین پاکستان', 'اقتصادی راہداری', 'ملک', 'توانائی', 'شدید بحران پرقابو', 'مدد', 'ہے، حکام', 'سی پیک اتھارٹی']
2019-10-07 16:39:41	UrduPoint	"وزیراعظم عمران خان کے دورہ چین کے بعد چینی صدر بھارت جائیں گے: شاہ محمود قریشی
چین مطمئن ہے لیکن اپوزیشن بلاوجہ سی پیک کو ایشو بنا تی ہے،  پاکستان نے ایف اے ٹی ایف کو مطمئن ... مزید"	ur	1	CPEC	وزیراعظم عمران خان دورہ چین چینی صدر بھارت شاہ محمود قریشی چین مطمئن اپوزیشن بلاوجہ پیک ایشو تی پاکستان ایف ٹی ایف مطمئن	4	['وزیراعظم عمران خان', 'دورہ چین', 'بعد چینی صدر بھارت', 'گے: شاہ محمود قریشی چین', 'اپوزیشن بلاوجہ', 'سی پیک', 'ایشو', 'ہے، پاکستان', 'ایف اے ٹی ایف', 'مطمئن ...']
2019-10-07 17:05:18	UrduPoint	"ض*کے سی آر پر وفاقی حکومت کی سردمہری اور ان کا رویہ قابل افسوس ہے،سعید غنی 
Gوزیر اعظم کے حالیہ دورے کے دوران ا سی پیک پر جو نکات رکھے گئے ہیں ، ان میں کے سی آر کو شامل نہ ... مزید"	ur	1	CPEC	ض آر وفاقی حکومت سردمہری رویہ قابل افسوس سعید غنی وزیر اعظم حالیہ دورے ا پیک نکات آر شامل	4	['ض*کے', 'سی آر', 'وفاقی حکومت', 'سردمہری', 'رویہ', 'قابل افسوس', 'ہے،سعید غنی', 'Gوزیر اعظم', 'حالیہ دورے', 'دوران', 'سی پیک', 'نکات', 'سی آر', '...']
2019-10-07 18:09:03	UrduPoint	"خطے میں مزید تنازع نہیں چاہتے، کوشش ہے سعودیہ اور ایران میں غلط فہماں دور ہوں، وزیر خارجہ 

سی پیک پر چین اور پاکستان دونوں مطمئن ہیں، ہم اگلے فیز کی جانب آگے بڑھ چکے ... مزید"	ur	1	CPEC	خطے تنازع کوشش سعودیہ ایران غلط فہماں دور وزیر خارجہ پیک چین پاکستان مطمئن فیز جانب آگے بڑھ چکے	4	['خطے', 'مزید تنازع', 'چاہتے، کوشش', 'سعودیہ', 'ایران', 'غلط فہماں دور', 'ہوں، وزیر خارجہ', 'سی پیک', 'چین', 'پاکستان', 'مطمئن ہیں،', 'اگلے فیز', 'جانب آگے', '...']
2019-10-08 06:40:10	UrduPoint	"سی پیک کے پہلے مرحلے کی تکمیل سے پاکستان میں بنیادی ڈھانچے میں بہتری آئی ہے، 
منصوبے سے افغانستان، وسطی ایشیاء اور روس تک رسائی فراہم ہوگی
چینی سفیر یاؤچنگ کی اے پی پی ... مزید"	ur	1	CPEC	پیک مرحلے تکمیل پاکستان بنیادی ڈھانچے بہتری آئی منصوبے افغانستان وسطی ایشیاء روس رسائی فراہم ہوگی چینی سفیر یاؤچنگ پی پی	4	['سی پیک', 'پہلے مرحلے', 'تکمیل', 'پاکستان', 'بنیادی ڈھانچے', 'بہتری آئی ہے، منصوبے', 'افغانستان،', 'وسطی ایشیاء', 'روس', 'رسائی', 'چینی سفیر یاؤچنگ', 'اے', '...']
2019-10-08 06:40:10	UrduPoint	سی پیک سے کے تحت بلوچستان میں اقتصادی زونز کے قیام سے مقامی صنعت ترقی کرے گی، حکام سی پیک اتھارٹی	ur	1	CPEC	پیک بلوچستان اقتصادی زونز قیام مقامی صنعت ترقی حکام پیک اتھارٹی	3	['سی پیک', 'تحت بلوچستان', 'اقتصادی زونز', 'قیام', 'مقامی صنعت ترقی', 'گی، حکام', 'سی پیک اتھارٹی']
2019-10-08 07:08:35	UrduPoint	سی پیک کے تحت بلوچستان کی تحصیل بوستان میں انڈسٹریل زون پر کام تیزی سے جاری	ur	1	CPEC	پیک بلوچستان تحصیل بوستان انڈسٹریل زون کام تیزی جاری	5	['سی پیک', 'تحت بلوچستان', 'تحصیل بوستان', 'انڈسٹریل زون', 'کام تیزی']
2019-10-08 07:08:36	UrduPoint	سی پیک سے متعلقہ منصوبوں میں70 ہزار پاکستانیوں کو روزگار ملا ، حکام سی پیک اتھارٹی	ur	1	CPEC	پیک متعلقہ منصوبوں ہزار پاکستانیوں روزگار ملا حکام پیک اتھارٹی	3	['سی پیک', 'متعلقہ منصوبوں میں70', 'پاکستانیوں', 'روزگار', 'حکام', 'سی پیک اتھارٹی']
2019-10-08 07:20:52	ExpressNews	وزیراعظم سی پیک اتھارٹی کے چیئرپرسن مقرر، آرڈیننس جاری	ur	1	CPEC	وزیراعظم پیک اتھارٹی چیئرپرسن مقرر آرڈیننس جاری	3	['وزیراعظم', 'سی پیک اتھارٹی', 'چیئرپرسن مقرر، آرڈیننس']
2019-10-08 09:39:20	UrduPoint	"احسن اقبال نے سی پیک اتھارٹی کے آرڈیننس کو خلاف قانون قرار دیدیا 
سی پیک اتھارٹی کا قیام غیرقانونی اور پارلیمانی کمیٹی کی سفارشات کے منافی ہے، مسترد کرتے ہیں ، سیکرٹری ... مزید"	ur	1	CPEC	احسن اقبال پیک اتھارٹی آرڈیننس قانون قرار دیدیا پیک اتھارٹی قیام غیرقانونی پارلیمانی کمیٹی سفارشات منافی مسترد سیکرٹری	3	['احسن اقبال', 'سی پیک اتھارٹی', 'آرڈیننس', 'خلاف قانون قرار', 'سی پیک اتھارٹی', 'قیام', 'پارلیمانی کمیٹی', 'سفارشات', 'منافی ہے،', 'سیکرٹری ...']
